SiteName,State,Address,City,Acres,DNI,EstPVCap
"OLYMPIC VIEW SANITARY LF, INC. (OVSL)",WA,10015 SW Barney White Road,PORT ORCHARD,500.0,3.18,
PASCO SLF,WA,1901 Dietrich Road,PASCO,,5.3,
PORT ANGELES SLF,WA,3501 W 18th Street,PORT ANGELES,44.0,3.2,
PURDY LF,WA,14515 54th Avenue NW,GIG HARBOR,11.0,3.26,
RAINBOW VALLEY LF,WA,Highway 105,RAYMOND,,2.89,
RICHLAND HORN RAPIDS LF,WA,3102 Twin Bridges Road,RICHLAND,114.0,5.38,19.0
ROOSEVELT REGIONAL MSW LANDFILL,WA,500 Roosevelt Grade Road,ROOSEVELT,2545.0,5.54,424.17
RYEGRASS LF,WA,25900 Vantage Highway,ELLENSBURG,,5.32,
STEVENS COUNTY LF,WA,,KETTLES FALLS,,4.53,
SUDBURY ROAD LF,WA,,WALLA WALLA,,4.84,
TACOMA CITY SOLID WASTE FACILITY,WA,3510 S. Mullen Street,TACOMA,130.0,3.33,
TERRACE HEIGHTS LF,WA,7601 Roza Hill Drive,YAKIMA,,5.38,
THURSTON COUNTY WASTE AND RECOVERY CENTER,WA,2418 Hogum Bay Road N.E.,OLYMPIA,120.0,3.09,
VASHON LF,WA,18910 Westside Highway SW,VASHON ISLAND,,3.32,
YAKIMA FIRING CENTER,WA,,YAKIMA,,5.38,
JEFFERSON AVENUE SITE,WA,S. 21st Street and S. Jefferson Avenue,TACOMA,6.0,3.33,
U OF W TACOMA - LABORERS INTERNATIONAL UNION OF NORTH AMERICA PROPERTY,WA,1736-1744 Market Street,TACOMA,1.0,3.33,
IRISH FOUNDRY,WA,45 Spokane St.,SEATTLE,1.0,3.41,
"SNOHOMISH, CITY OF",WA,The Snohomish Trail Corridor,SNOHOMISH,16.0,3.08,
RAINIER COURT AREA IV THE HOME OWNERSHIP PROJECT,WA,3612-3656 34th Ave. South,SEATTLE,3.0,3.51,0.49
U OF W TACOMA - KOSIN PROPERTY,WA,"1902, 1908, & 1914 Market Street",TACOMA,1.0,3.33,
